Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Date Completed),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Create case from scratch,T0085-20,19863,Story,In Progress,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:37 PM,07/Jan/26 9:03 AM,07/Jan/26 9:03 AM,,09/Jan/26 12:00 AM,0,"* As a user
* I want to create a new case even when there’s no alert
* So that I can log ad-hoc investigations.
* Acceptance criteria
** “Create case” button on page.
** Form includes mandatory fields: title, vehicle/unit, subsystem, description; optional: alert/WO/incident links.
** On success, user is taken to the new case detail.

!Screenshot 2026-01-07 090128-20260107-090129.png|width=312,alt=""Screenshot 2026-01-07 090128-20260107-090129.png""!",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,07/Jan/26 9:03 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;Screenshot 2026-01-07 090128-20260107-090129.png;https://triggersoftware.atlassian.net/rest/api/3/attachment/content/11671,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58fd575,,,,,,{},,,,,,,,,,,,0|i00jks:zi,,,,,,TCM Sprint 1,,,,,,,,,,,,,,,,19847,T0085-4,Case Management Report,In Progress,05/Jan/26 6:49 PM
Case detail view + edit,T0085-19,19862,Story,In Progress,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:36 PM,07/Jan/26 9:03 AM,07/Jan/26 9:00 AM,,09/Jan/26 12:00 AM,0,"* As a user
* I want to view a full case record and update it
* So that I can manage investigations.
* Acceptance criteria
** Detail view shows: core metadata, linked alerts/WOs/incidents, signal panels, notes, documents.
** Edit mode with form validation.
** Status change (e.g. Open → In Progress → Completed) with confirmation.

!image-20260107-090318.png|width=688,alt=""image-20260107-090318.png""!",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,07/Jan/26 9:03 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;image-20260107-090318.png;https://triggersoftware.atlassian.net/rest/api/3/attachment/content/11670,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@660a49b,,,,,,{},,,,,,,,,,,,0|i00jks:z,,,,,,TCM Sprint 1,,,,,,,,,,,,,,,,19847,T0085-4,Case Management Report,In Progress,19/Dec/25 3:05 PM
Cases grid with drill-down,T0085-18,19861,Story,In Progress,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:35 PM,07/Jan/26 9:00 AM,07/Jan/26 8:59 AM,,09/Jan/26 12:00 AM,0,"* As a user
* I want a table of cases with key attributes and drill-down
* So that I can review and update cases efficiently.
* Acceptance criteria
** Grid displays columns similar to concept (ID, fleet/unit/vehicle, title, description, status, meeting notes/updates, dates, subsystem).
** Pagination and sorting by key columns.
** Clicking a row opens a case detail drawer.
** Supports inline search by case ID/title.

!image-20260107-090008.png|width=632,alt=""image-20260107-090008.png""!",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,07/Jan/26 9:00 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;image-20260107-090008.png;https://triggersoftware.atlassian.net/rest/api/3/attachment/content/11669,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@398457ab,,,,,,{},,,,,,,,,,,,0|i00jks:y,,,,,,TCM Sprint 1,,,,,,,,,,,,,,,,19847,T0085-4,Case Management Report,In Progress,19/Dec/25 3:05 PM
Implement summary counters,T0085-17,19860,Story,In Progress,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:34 PM,07/Jan/26 8:39 AM,07/Jan/26 8:36 AM,,09/Jan/26 12:00 AM,0,"* As a user
* I want to see counts of total, new and completed reports
* So that I understand workload at a glance.
* Acceptance criteria
** KPI tiles display counts consistent with grid filters.
** “New” and “Completed” defined and documented (e.g. last 7 days, status enums).
** Loading and error states handled.

!image-20260107-083932.png|width=694,alt=""image-20260107-083932.png""!",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,07/Jan/26 8:39 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;image-20260107-083932.png;https://triggersoftware.atlassian.net/rest/api/3/attachment/content/11661,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1e41b91d,,,,,,{},,,,,,,,,,,,0|i00jks:x,,,,,,TCM Sprint 1,,,,,,,,,,,,,,,,19847,T0085-4,Case Management Report,In Progress,19/Dec/25 3:05 PM
Implement filter bar,T0085-16,19859,Story,In Progress,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:33 PM,07/Jan/26 8:59 AM,07/Jan/26 8:57 AM,,19/Dec/25 12:00 AM,0,"* As a user
* I want to filter cases by TOC, class, depot, unit, vehicle, period and date
* So that I can focus on relevant cases.
* Acceptance criteria
** Filter controls for: TOC, Class, Depot, Unit, Vehicle, Period, Date range (per mock-up).
** Changing filters refreshes counters, train image highlighting, dashboards and grid.
** Filters URL-encoded so views can be bookmarked/shared.

!image-20260107-085757.png|width=694,alt=""image-20260107-085757.png""!",,Steven Das,Tristan Gerhold,712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba,5fbff729facfd60076fd4484,,,,,,,,,07/Jan/26 8:58 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;image-20260107-085757.png;https://triggersoftware.atlassian.net/rest/api/3/attachment/content/11667,07/Jan/26 8:59 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;image-20260107-085842.png;https://triggersoftware.atlassian.net/rest/api/3/attachment/content/11668,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5a9c5cbe,,,,,,{},,,,,,,,,,,,0|i00jks:v,,,,,,TCM Sprint 1,,,,,,,,,,,2026-01-07 08:59:13.529,,"07/Jan/26 8:59 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;[NOTE] Currently, the implemented filters are TOC, Class, Depot and Unit. Vehicle and Period/Date are missing.

!image-20260107-085842.png|width=602,alt=""image-20260107-085842.png""!",,,19847,T0085-4,Case Management Report,In Progress,19/Dec/25 3:05 PM
Implement Case Management page shell,T0085-15,19858,Story,Done,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,Done,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:32 PM,19/Dec/25 3:05 PM,,19/Dec/25 3:05 PM,19/Dec/25 12:00 AM,0,"* As a user
* I want a Case Management option in the portal nav
* So that I can access the feature from the existing FRP.
* Acceptance criteria
** New menu item “Case Management” (or agreed label) in left nav.
** Page is routed within existing React app and respects auth/permissions.",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@d8f0ac,,,,,,{},,,,,,,,,,,,0|i00jks:r,,,,,,TCM Sprint 1,,,,,,,,,,,,10127_*:*_1_*:*_2568782950_*|*_10126_*:*_1_*:*_0,,,,19847,T0085-4,Case Management Report,Done,19/Dec/25 3:05 PM
Integration with maintenance work orders & incidents,T0085-14,19857,Story,In Progress,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:27 PM,07/Jan/26 9:26 AM,07/Jan/26 8:56 AM,,19/Dec/25 12:00 AM,0,"* As a fleet engineer
* I want to see related unplanned WOs and incidents in a case
* So that I can understand past actions and performance.
* Acceptance criteria
** API service that, given vehicle and time window, returns related WOs and incidents.
** Case stores references to associated WOs/incidents.
** Exposed via API for the UI.

!image-20260107-085712.png|width=323,alt=""image-20260107-085712.png""!",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,07/Jan/26 8:57 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;image-20260107-085712.png;https://triggersoftware.atlassian.net/rest/api/3/attachment/content/11666,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5201ce44,,,,,,{},,,,,,,,,,,,0|i00jks:i,,,,,,TCM Sprint 1,,,,,,,,,,,,,,,,19847,T0085-4,Case Management Report,In Progress,07/Jan/26 9:26 AM
Integration with RCM alerts (auto-case pre-population),T0085-13,19856,Story,To Do,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:26 PM,07/Jan/26 10:25 AM,,,19/Dec/25 12:00 AM,0,"* As a reliability engineer
* I want RCM alerts to pre-fill case context
* So that I don’t have to manually enter details.
* Acceptance criteria
** API that, given an alert ID, returns: timeseries snippet(s), vehicle, timestamps, relevant KPIs.
** Case creation endpoint accepts an alert ID and stores linkage.
** At least one alert type integrated end-to-end.",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@72784804,,,,,,{},,,,,,,,,,,,0|i00jku:,,,,,,TCM Sprint 2,,,,,,,,,,,,,,,,19847,T0085-4,Case Management Report,To Do,19/Nov/25 9:26 PM
"Attach signals, notes and documents to a case",T0085-12,19855,Story,To Do,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:25 PM,07/Jan/26 10:25 AM,,,19/Dec/25 12:00 AM,0,"* As a fleet engineer
* I want to attach time-series signals, comments and documents to a case
* So that everything relevant is stored together.
* Acceptance criteria
** Endpoints to create/read notes and documents for a case.
** Signals endpoint that stores references to Databricks extracted time-series.
** Max attachment size / supported types defined.",,Tristan Gerhold,,5fbff729facfd60076fd4484,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4205405d,,,,,,{},,,,,,,,,,,,0|i00jkt:,,,,,,TCM Sprint 2,,,,,,,,,,,,,,,,19847,T0085-4,Case Management Report,To Do,19/Nov/25 9:25 PM
CRUD API for cases,T0085-11,19854,Story,In Review,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,,,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:24 PM,07/Jan/26 8:56 AM,07/Jan/26 9:04 AM,,19/Dec/25 12:00 AM,0,"* As a frontend developer
* I want REST endpoints to create, read, update and close cases
* So that the UI can manage case lifecycle.
* Acceptance criteria
** Endpoints created e.g. {{GET /cases}}*,* {{GET /cases/{id}}}*,* {{POST /cases}}*,* {{PUT /cases/{id}}}*,* {{PATCH /cases/{id}/status}}*.*
** Supports filters: TOC, class, depot, unit, vehicle, date range, status, subsystem.
** Validation rules enforced (required fields, max lengths, valid statuses).
** API documentation (OpenAPI/Swagger) updated.",,Steven Das,Tristan Gerhold,712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba,5fbff729facfd60076fd4484,,,,,,,,,07/Jan/26 8:53 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;image-20260107-085329.png;https://triggersoftware.atlassian.net/rest/api/3/attachment/content/11665,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@733e724f,,,,,,{},,,,,,,,,,,,0|i00jks:,,,,,,TCM Sprint 1,,,,,,,,,,,2026-01-07 08:53:14.301,,"07/Jan/26 8:53 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;[NOTE] The implemented endpoints don't quite match the request methods defined in this card

!image-20260107-085329.png|width=634,alt=""image-20260107-085329.png""!",07/Jan/26 8:56 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;[NOTE] These endpoints are currently utilising mock data and will need to be repointed to query the SQL DB tables,,19847,T0085-4,Case Management Report,In Progress,16/Dec/25 9:21 AM
Define mirroring from Databricks entities to cases DB,T0085-10,19853,Story,In Review,T0085,T0085 - Case Management,software,Tristan Gerhold,5fbff729facfd60076fd4484,,Medium,,Steven Das,712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba,Tristan Gerhold,5fbff729facfd60076fd4484,Tristan Gerhold,5fbff729facfd60076fd4484,19/Nov/25 9:15 PM,07/Jan/26 8:03 AM,07/Jan/26 9:19 AM,,05/Dec/25 12:00 AM,0,"* As a case investigator
* I want each case to reference relevant alert context, WOs and incidents
* So that I can see the full context.
* Acceptance criteria
** Data model includes stable IDs/keys
** Mapping rules between FRP DB and warehouse documented (e.g. via vehicle ID, timestamp ranges, etc.).
** Sample mappings tested for at least one fleet and tests prove functionality",,Steven Das,Tristan Gerhold,712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba,5fbff729facfd60076fd4484,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@aca80d5,,,,,,{},,,,,,,,,,,,0|i00jkm:i,,,,,,TCM Sprint 1,,,,,,,,,,,2026-01-07 08:01:20.417,,07/Jan/26 8:01 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;17/12/25 RakeHistory and UnifiedInterventions mirrored over to SQL DB,07/Jan/26 8:01 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;07/01/2026 Depot field added to RakeHistory (mirrored table only) and RCMCaseManagement table mirrored over to SQL DB,"07/Jan/26 8:02 AM;712020:938e247f-27ba-4c56-aa72-d04f4aa4f9ba;+Remaining Tasks+

* Core notebooks Dev → Main
* Terraform the task to mirror RCMCaseManagement over to SQL DB",19845,T0085-2,Data Model & Case Management Database,In Progress,10/Dec/25 9:29 AM
